Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
0 <= ... < 200 DM;30.0;existing credits paid back duly till now;furniture/equipment;3441.0;100 <= ... < 500 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;co-applicant;4.0;car or other;21.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
no checking account;12.0;existing credits paid back duly till now;car (new);640.0;... < 100 DM;1 <= ... < 4 years;4.0;male : divorced/separated;none;2.0;real estate;49.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;21.0;critical account/ other credits existing (not at this bank);business;3652.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;3.0; building society savings agreement/ life insurance;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);car (new);1530.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0; building society savings agreement/ life insurance;32.0;bank;own;2.0;skilled employee / official;1.0;none;yes;1
no checking account;48.0;existing credits paid back duly till now;business;3914.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : divorced/separated;none;2.0;real estate;38.0;bank;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;1858.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0;car or other;22.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;radio/television;2600.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;unknown / no property;65.0;none;for free;2.0;skilled employee / official;1.0;none;yes;1
no checking account;15.0;existing credits paid back duly till now;radio/television;1979.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;2.0;car or other;35.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;6.0;existing credits paid back duly till now;furniture/equipment;2116.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;41.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;9.0;all credits at this bank paid back duly;car (new);1437.0;100 <= ... < 500 DM;4 <= ... < 7 years;2.0;male : single;none;3.0;unknown / no property;29.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;42.0;critical account/ other credits existing (not at this bank);furniture/equipment;4042.0;500 <= ... < 1000 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;real estate;36.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;9.0;existing credits paid back duly till now;education;3832.0;unknown/ no savings account;.. >= 7 years;1.0;male : single;none;4.0;real estate;64.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;radio/television;3660.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0;car or other;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;all credits at this bank paid back duly;furniture/equipment;1553.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;3.0;car or other;44.0;bank;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;15.0;existing credits paid back duly till now;radio/television;1444.0;unknown/ no savings account;... < 1 year;4.0;male : single;none;1.0; building society savings agreement/ life insurance;23.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;9.0;existing credits paid back duly till now;furniture/equipment;1980.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;co-applicant;2.0;car or other;19.0;none;rent;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;car (new);1355.0;... < 100 DM;... < 1 year;3.0;female : divorced/separated/married;none;4.0;car or other;25.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
no checking account;12.0;existing credits paid back duly till now;education;1393.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;47.0;bank;own;3.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;radio/television;1376.0;500 <= ... < 1000 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;1.0;car or other;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;60.0;delay in paying off in the past;radio/television;15653.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;4.0;car or other;21.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;radio/television;1493.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;3.0;car or other;34.0;none;own;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;42.0;delay in paying off in the past;radio/television;4370.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;2.0; building society savings agreement/ life insurance;26.0;bank;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;1
... < 0 DM;18.0;existing credits paid back duly till now;education;750.0;... < 100 DM;unemployed;4.0;female : divorced/separated/married;none;1.0;real estate;27.0;none;own;1.0;unemployed/ unskilled - non-resident;1.0;none;yes;1
0 <= ... < 200 DM;15.0;existing credits paid back duly till now;repairs;1308.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;38.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
no checking account;15.0;existing credits paid back duly till now;education;4623.0;100 <= ... < 500 DM;1 <= ... < 4 years;3.0;male : single;none;2.0; building society savings agreement/ life insurance;40.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;24.0;critical account/ other credits existing (not at this bank);radio/television;1851.0;... < 100 DM;4 <= ... < 7 years;4.0;male : married/widowed;guarantor;2.0;car or other;33.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;18.0;critical account/ other credits existing (not at this bank);radio/television;1880.0;... < 100 DM;4 <= ... < 7 years;4.0;male : married/widowed;none;1.0; building society savings agreement/ life insurance;32.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;delay in paying off in the past;business;7980.0;unknown/ no savings account;... < 1 year;4.0;male : single;none;4.0;car or other;27.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;30.0;no credits taken/ all credits paid back duly;furniture/equipment;4583.0;... < 100 DM;1 <= ... < 4 years;2.0;male : divorced/separated;guarantor;2.0;real estate;32.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;12.0;existing credits paid back duly till now;car (new);1386.0;500 <= ... < 1000 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;26.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;24.0;existing credits paid back duly till now;car (new);947.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;3.0;unknown / no property;38.0;bank;for free;1.0;skilled employee / official;2.0;none;yes;1
... < 0 DM;12.0;existing credits paid back duly till now;education;684.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;car or other;40.0;none;rent;1.0;unskilled - resident;2.0;none;yes;1
... < 0 DM;48.0;existing credits paid back duly till now;education;7476.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;1.0;unknown / no property;50.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;furniture/equipment;1922.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;37.0;none;own;1.0;unskilled - resident;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;car (new);2303.0;... < 100 DM;.. >= 7 years;4.0;male : single;co-applicant;1.0;real estate;45.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;36.0;delay in paying off in the past;car (new);8086.0;100 <= ... < 500 DM;.. >= 7 years;2.0;male : single;none;4.0;car or other;42.0;none;own;4.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;24.0;critical account/ other credits existing (not at this bank);car (used);2346.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;3.0;car or other;35.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;14.0;existing credits paid back duly till now;car (new);3973.0;... < 100 DM;unemployed;1.0;male : single;none;4.0;unknown / no property;22.0;none;for free;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);888.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;41.0;bank;own;1.0;unskilled - resident;2.0;none;yes;1
no checking account;48.0;existing credits paid back duly till now;radio/television;10222.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;3.0;car or other;37.0;stores;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;30.0;no credits taken/ all credits paid back duly;business;4221.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;1.0;car or other;28.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;18.0;critical account/ other credits existing (not at this bank);furniture/equipment;6361.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;1.0;unknown / no property;41.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;existing credits paid back duly till now;radio/television;1297.0;... < 100 DM;1 <= ... < 4 years;3.0;male : married/widowed;none;4.0;real estate;23.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;car (new);900.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : married/widowed;none;2.0;car or other;23.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;21.0;existing credits paid back duly till now;furniture/equipment;2241.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;2.0;real estate;50.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;6.0;delay in paying off in the past;furniture/equipment;1050.0;... < 100 DM;unemployed;4.0;male : single;none;1.0; building society savings agreement/ life insurance;35.0;stores;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;6.0;critical account/ other credits existing (not at this bank);education;1047.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;50.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);others;6314.0;... < 100 DM;unemployed;4.0;male : single;co-applicant;2.0;unknown / no property;27.0;bank;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;30.0;all credits at this bank paid back duly;furniture/equipment;3496.0;.. >= 1000 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;34.0;stores;own;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;48.0;all credits at this bank paid back duly;business;3609.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;1.0;real estate;27.0;stores;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);car (new);4843.0;... < 100 DM;.. >= 7 years;3.0;male : single;co-applicant;4.0; building society savings agreement/ life insurance;43.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... >= 200 DM / salary assignments for at least 1 year;30.0;critical account/ other credits existing (not at this bank);radio/television;3017.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;47.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);business;4139.0;100 <= ... < 500 DM;1 <= ... < 4 years;3.0;male : single;none;3.0; building society savings agreement/ life insurance;27.0;none;own;2.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;existing credits paid back duly till now;business;5742.0;100 <= ... < 500 DM;4 <= ... < 7 years;2.0;male : single;none;2.0;car or other;31.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;60.0;existing credits paid back duly till now;car (new);10366.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;4.0; building society savings agreement/ life insurance;42.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
